tiempo,salida,entrada
0.1,0.022,0
0.2,-0.0249,0
0.3,-0.0726,0
0.4,-0.035,0
0.5,-0.0096,0
0.6,-0.0555,0
0.7,-0.2742,0
0.8,-0.1791,0
0.9,0.0816,0
1,0.0176,0
1.1,-0.0039,0
1.2,-0.2048,0
1.3,-0.084,0
1.4,0.0761,0
1.5,-0.0956,0
1.6,0.1658,0
1.7,0.0663,0
1.8,0.0552,0
1.9,0.0735,0
2,-0.0884,0
2.1,0.0458,0
2.2,-0.0026,0
2.3,-0.0357,0
2.4,-0.0418,0
2.5,-0.0497,0
2.6,0.1671,0
2.7,-0.0394,0
2.8,0.1799,0
2.9,0.0191,0
3,0.0614,0
3.1,0.214,0
3.2,-0.0978,0
3.3,-0.0177,0
3.4,-0.1394,0
3.5,-0.2442,0
3.6,-0.078,0
3.7,-0.0843,0
3.8,0.0946,0
3.9,-0.0012,0
4,0.2341,0
4.1,-0.0663,0
4.2,-0.0493,0
4.3,0.2497,0
4.4,-0.081,0
4.5,0.0557,0
4.6,0.0756,0
4.7,0.1522,0
4.8,0.1556,0
4.9,0.0263,0
5,0.1295,0
5.1,-0.0373,0
5.2,-0.1491,0
5.3,0.172,0
5.4,-0.1238,0
5.5,0.0721,0
5.6,-0.1374,0
5.7,-0.1751,0
5.8,-0.213,0
5.9,-0.0516,0
6,-0.0275,0
6.1,0.0761,0
6.2,0.1486,0
6.3,0.0922,0
6.4,0.0218,0
6.5,-0.1601,0
6.6,-0.184,0
6.7,0.0541,0
6.8,-0.073,0
6.9,0.0116,0
7,-0.0727,0
7.1,0.1155,0
7.2,-0.0843,0
7.3,-0.0843,0
7.4,-0.009,0
7.5,0.0828,0
7.6,0.0916,0
7.7,0.0873,0
7.8,0.0198,0
7.9,0.0124,0
8,0.167,0
8.1,-0.0726,0
8.2,-0.0099,0
8.3,-0.0698,0
8.4,-0.1076,0
8.5,-0.1526,0
8.6,-0.126,0
8.7,-0.1941,0
8.8,0.099,0
8.9,0.019,0
9,0.041,0
9.1,0.1809,0
9.2,0.0706,0
9.3,0.0863,0
9.4,-0.0369,0
9.5,0.0329,0
9.6,-0.0476,0
9.7,0.0628,0
9.8,0.1361,0
9.9,-0.0253,0
10,0.0254,10
10.1,0.1624,10
10.2,-0.0905,10
10.3,0.0191,10
10.4,-0.0052,10
10.5,0.039,10
10.6,-0.136,10
10.7,0.1093,10
10.8,-0.1643,10
10.9,0.0278,10
11,0.0265,10
11.1,0.2298,10
11.2,0.1018,10
11.3,-0.0562,10
11.4,-0.1376,10
11.5,0.2291,10
11.6,0.1985,10
11.7,0.0499,10
11.8,-0.0115,10
11.9,-0.0154,10
12,-0.016,10
12.1,0.0908,10
12.2,0.0095,10
12.3,0.0016,10
12.4,0.0051,10
12.5,0.1664,10
12.6,-0.1103,10
12.7,-0.0585,10
12.8,-0.0458,10
12.9,-0.0679,10
13,0.0649,10
13.1,-0.1178,10
13.2,0.1222,10
13.3,-0.0868,10
13.4,0.1434,10
13.5,-0.0873,10
13.6,0.1562,10
13.7,-0.113,10
13.8,-0.1189,10
13.9,0.0138,10
14,0.1218,10
14.1,0.1645,10
14.2,-0.0418,10
14.3,0.0042,10
14.4,0.1474,10
14.5,0.027,10
14.6,0.1552,10
14.7,-0.1665,10
14.8,-0.056,10
14.9,-0.0327,10
15,0.0379,10
15.1,-0.1309,10
15.2,0.1241,10
15.3,0.0659,10
15.4,-0.0612,10
15.5,0.1538,10
15.6,0.0263,10
15.7,-0.0006,10
15.8,-0.0263,10
15.9,-0.1206,10
16,0.0802,10
16.1,0.0745,10
16.2,-0.1761,10
16.3,0.0561,10
16.4,0.049,10
16.5,0.1717,10
16.6,0.1049,10
16.7,-0.0689,10
16.8,0.1461,10
16.9,0.0572,10
17,0.0271,10
17.1,0.0837,10
17.2,0.0713,10
17.3,0.0687,10
17.4,0.1077,10
17.5,-0.0881,10
17.6,0.0694,10
17.7,-0.0192,10
17.8,0.1426,10
17.9,-0.014,10
18,-0.1843,10
18.1,-0.196,10
18.2,0.1578,10
18.3,0.1862,10
18.4,0.0082,10
18.5,-0.0571,10
18.6,0.1282,10
18.7,-0.1889,10
18.8,0.0435,10
18.9,-0.0252,10
19,0.1456,10
19.1,0.0151,10
19.2,0.1355,10
19.3,0.0175,10
19.4,-0.1484,10
19.5,-0.0615,10
19.6,0.1725,10
19.7,0.1197,10
19.8,-0.2025,10
19.9,0.1873,10
20,0.1003,10
20.1,-0.0822,10
20.2,-0.0139,10
20.3,-0.0317,10
20.4,-0.1649,10
20.5,0.2391,10
20.6,-0.059,10
20.7,0.0634,10
20.8,0.0382,10
20.9,-0.1043,10
21,0.133,10
21.1,-0.0131,10
21.2,-0.0828,10
21.3,-0.0305,10
21.4,0.0663,10
21.5,0.0982,10
21.6,-0.2745,10
21.7,0.1259,10
21.8,0.0586,10
21.9,0.0577,10
22,0.0159,10
22.1,-0.0276,10
22.2,-0.0151,10
22.3,0.0455,10
22.4,-0.053,10
22.5,0.0479,10
22.6,-0.0578,10
22.7,0.0683,10
22.8,0.1715,10
22.9,-0.0518,10
23,-0.2036,10
23.1,0.2205,10
23.2,0.1098,10
23.3,-0.1904,10
23.4,0.0062,10
23.5,0.0775,10
23.6,0.082,10
23.7,-0.0072,10
23.8,0.0581,10
23.9,0.0453,10
24,0.038,10
24.1,0.0028,10
24.2,-0.1134,10
24.3,0.1591,10
24.4,0.0387,10
24.5,0.1454,10
24.6,-0.1084,10
24.7,-0.1062,10
24.8,0.236,10
24.9,0.0144,10
25,-0.1708,10
25.1,-0.1091,10
25.2,0.0942,10
25.3,-0.0758,10
25.4,0.0186,10
25.5,-0.0918,10
25.6,-0.0695,10
25.7,-0.0666,10
25.8,-0.0334,10
25.9,-0.1147,10
26,-0.0891,10
26.1,-0.153,10
26.2,-0.023,10
26.3,-0.0208,10
26.4,0.0521,10
26.5,0.0206,10
26.6,-0.0662,10
26.7,0.0627,10
26.8,-0.2173,10
26.9,0.0618,10
27,-0.1158,10
27.1,0.0625,10
27.2,-0.0873,10
27.3,-0.0587,10
27.4,0.108,10
27.5,-0.0749,10
27.6,0.1117,10
27.7,0.0007,10
